user_id,restaurant_id,will_split
16,11,false
12,46,true
9,3,false
19,4,true
13,36,true
19,35,true
16,7,true
8,28,false
8,31,false
12,46,false
18,21,true
17,13,false
18,3,false
13,24,false
12,30,true
17,15,true
19,8,false
19,35,false
19,34,true
10,34,false
9,34,false
14,21,true
7,40,true
6,34,true
20,37,false
14,22,true
17,42,false
12,28,true
1,22,false
9,32,false
12,39,true
11,36,true
11,42,false
13,50,true
15,32,false
4,48,false
13,8,true
11,24,false
13,44,false
10,27,false
5,34,false
10,14,true
14,47,false
20,14,false
17,34,false
2,37,false
10,47,true
18,32,false
10,36,true
8,49,false
15,46,true
17,20,false
18,19,true
6,36,false
13,45,true
2,27,true
5,48,false
17,8,true
2,2,true
7,16,false
5,13,true
17,16,false
10,47,true
12,12,false
13,28,true
5,34,true
7,50,true
20,49,false
11,29,true
18,8,false
16,28,true
15,2,false
7,43,true
6,47,true
13,22,false
14,12,true
20,40,false
5,22,true
20,1,false
6,45,false
18,4,true
14,41,true
16,29,true
16,25,false
8,41,true
20,23,false
14,21,false
10,48,true
7,39,true
8,46,false
16,26,false
8,45,false
6,49,true
11,1,false
19,12,true
12,18,false
6,46,true
20,39,false
20,26,true
11,6,true
15,10,false
9,24,false
2,7,true
18,39,false
5,43,true
11,44,true
4,19,false
8,8,false
10,1,false
4,33,false
14,50,true
11,43,true
9,6,false
8,26,false
16,12,true
15,2,true
1,8,true
16,28,false
13,43,true
16,11,false
9,7,false
18,22,true
1,21,false
7,14,true
9,29,true
20,41,false
8,48,true
16,29,false
15,42,true
11,37,false
10,21,false
13,38,true
16,48,true
20,21,true
14,3,true
12,40,false
7,11,false
1,21,false
6,27,true
6,46,false
8,17,false
20,14,true
20,28,true
7,31,false
11,10,false
20,34,true
15,31,true
8,35,true
8,45,false
7,46,true
1,17,false
18,9,false
14,41,false
17,50,false
17,35,true
4,39,false
6,15,true
1,30,false
13,3,false
9,32,false
10,44,false
15,32,true
14,41,false
15,18,true
1,42,true
19,30,false
20,47,false
17,8,true
7,50,false
12,46,true
13,47,true
17,9,false
2,39,false
20,30,false
18,1,true
14,11,false
19,40,false
3,2,true
9,25,true
10,37,true
3,5,true
17,29,true
8,27,true
4,49,false
19,15,true
10,11,false
11,6,true
17,39,true
20,21,false
3,28,false
10,28,false
8,31,false
7,1,false
6,24,true
16,17,false
6,37,false
8,12,true
14,18,true
19,2,true
3,21,false
2,32,false
10,28,true
11,49,false
12,14,true
19,37,false
11,13,false
17,43,false
7,31,false
11,25,false
5,37,true
20,34,true
4,37,false
2,37,false
19,13,true
11,50,false
13,49,true
18,31,true
17,2,false
20,15,true
9,37,true
10,24,false
10,28,true
4,19,true
13,39,true
17,12,true
8,47,false
15,29,false
12,30,true
12,32,true
1,19,false
17,50,false
15,44,true
14,26,false
2,38,false
14,9,false
2,15,true
2,29,false
1,8,false
15,44,true
16,22,false
4,42,false
11,46,true
1,40,true
16,40,true
2,46,false
11,6,false
2,46,false
9,21,true
19,18,false
11,34,true
7,15,false
7,35,false
7,46,false
15,42,false
1,10,false
3,46,false
16,34,false
10,42,false
18,31,false
5,7,true
16,20,false
9,26,true
9,11,true
14,21,false
2,11,true
4,29,true
20,32,false
15,30,false
12,33,true
19,17,true
11,11,true
20,16,true
10,4,false
2,10,true
8,39,false
1,27,false
4,47,false
20,2,true
16,4,false
9,46,false
14,39,false
20,10,false
9,17,false
4,11,true
7,50,false
17,28,true
2,27,false
17,48,false
14,33,true
4,5,true
3,34,true
11,24,false
10,46,true
7,31,true
2,21,false
14,48,true
15,19,true
18,31,false
14,2,true
11,6,true
4,25,true
3,5,true
15,37,true
19,43,true
18,16,false
3,9,false
19,32,false
5,4,false
1,48,false
10,42,true
10,28,true
4,50,false
18,39,true
3,10,true
5,32,false
6,6,true
7,4,true
16,14,true
6,40,false
6,19,true
19,4,false
4,26,false
19,7,true
17,2,true
6,38,false
12,37,true
8,41,false
4,7,false
7,7,true
7,44,true
11,25,false
18,29,true
17,44,true
4,24,false
18,14,false
11,19,false
14,2,false
10,22,true
1,3,true
10,30,true
18,4,false
3,43,true
19,41,false
17,25,true
8,32,false
8,49,true
19,8,false
16,25,true
9,8,true
10,3,true
1,5,false
1,5,false
15,19,false
12,47,false
13,14,true
9,46,true
14,45,true
12,34,true
14,6,false
10,32,true
3,44,false
13,25,false
3,33,false
2,42,false
6,40,true
2,21,false
6,33,false
16,19,false
2,5,true
20,28,true
18,6,false
17,12,true
11,36,false
1,41,false
16,6,true
6,24,true
8,29,true
7,8,false
3,38,false
8,18,true
8,21,false
2,5,true
6,46,false
15,25,true
13,40,false
3,6,true
8,10,false
3,6,true
19,16,false
15,42,true
12,3,true
17,48,false
19,31,false
18,25,true
14,36,true
7,45,true
12,26,false
14,38,false
1,18,false
1,35,true
20,7,false
17,12,true
18,43,false
14,31,false
14,36,true
10,46,true
15,50,true
14,47,true
6,10,false
17,41,true
4,38,false
10,41,false
12,5,false
1,47,true
17,8,false
6,22,true
14,15,true
6,45,false
3,7,true
5,49,false
1,17,false
4,20,true
6,43,false
5,33,false
14,31,false
4,44,false
16,8,false
14,21,false
11,15,false
14,47,true
9,44,true
16,36,true
1,24,true
5,30,false
3,10,false
7,8,true
3,31,false
12,19,false
12,35,false
11,38,true
15,10,false
1,22,false
4,35,false
14,49,true
16,45,true
18,47,false
7,16,true
14,11,false
5,44,false
5,7,true
9,13,true
2,45,true
9,16,true
7,44,false
8,16,false
18,24,false
15,33,false
20,16,false
3,28,false
15,15,false
18,43,true
8,29,true
15,46,false
13,19,true
9,23,true
20,30,true
4,19,true
18,46,false
20,36,false
3,9,true
13,48,true
11,30,true
17,16,false
15,31,false
8,42,false
2,45,false
18,21,false
16,11,false
4,25,true
20,22,false
3,24,false
5,13,true
16,40,false
10,17,true
18,25,false
10,15,false
2,50,false
15,49,true
11,11,false
14,13,true
7,25,true
7,44,false
17,10,true
17,16,true
10,42,true
8,41,false
16,14,true
5,5,false
20,48,false
2,8,false
